train_acc,train_loss,train_precision,train_recall,train_f1,train_precision_window,train_recall_window,train_f1_window,val_acc,val_loss,val_precision,val_recall,val_f1,val_precision_window,val_recall_window,val_f1_window
0.939716,572.5605979090773,0.3814688,0.39080405,0.37874487,0.6990506,0.27755904,0.39082164,0.97649276,327.23102098547895,0.4501769,0.4597787,0.45323685,0.91580486,0.39195564,0.5460046
0.9776009,294.92376554682016,0.45587906,0.45816675,0.4535723,0.98580444,0.60380644,0.7400302,0.97683704,264.89398365850036,0.4670897,0.4674224,0.46324193,1.0,0.8152305,0.8979734
0.97828496,247.41609177607276,0.480506,0.46910825,0.4666723,0.9991885,0.88997805,0.94099087,0.97676456,235.78017750615658,0.50498295,0.47591716,0.47861424,0.9989016,0.9344938,0.96550024
0.9787401,223.05983265508874,0.5093647,0.48120758,0.4823239,0.997981,0.9608945,0.97896916,0.9774348,219.49000522779383,0.5112017,0.4797572,0.4809018,0.9984706,0.9773333,0.9877419
0.9788935,210.3071086897832,0.5321485,0.49392793,0.49720547,0.99698347,0.9830281,0.9899149,0.9773805,209.94209488578466,0.5379477,0.50189614,0.5073049,0.99855,0.9869941,0.9927116
0.9789664,201.919062382273,0.5440619,0.50711054,0.51012164,0.99654865,0.9879109,0.9921784,0.97700006,209.55559022322944,0.52809453,0.4937106,0.49705973,0.997609,0.9878646,0.9926769
0.97918355,196.5724807910705,0.53982866,0.50843436,0.51123446,0.99712926,0.98965603,0.993352,0.9771088,203.90253508194633,0.5639078,0.54117215,0.54152906,0.9989653,0.9897386,0.9943036
0.979259,190.5890950835153,0.5446792,0.51679987,0.5193027,0.9973428,0.9901051,0.99368024,0.97699994,199.53133883268936,0.5586285,0.52965844,0.5325239,0.99871063,0.9910907,0.9948615
0.979112,186.39525607105497,0.5453453,0.5155945,0.51746833,0.9977144,0.9910936,0.99436593,0.9772175,197.38157580831776,0.5218832,0.47734094,0.48333454,0.9991032,0.9923137,0.9956753
0.9793397,181.87898733017596,0.54905957,0.5187659,0.5209384,0.9985617,0.99222064,0.99535984,0.9775616,194.56401207965354,0.56017303,0.5409771,0.5402094,0.9998641,0.9914153,0.9956024
0.9793447,177.7787478300516,0.55184,0.52418,0.5250756,0.99857265,0.99293774,0.99572754,0.97725374,192.02895123025647,0.5556587,0.5415999,0.53942627,0.99978894,0.9934614,0.99659944
0.9794411,173.92167887884133,0.5611123,0.5310127,0.5325738,0.99888605,0.9936464,0.99624074,0.9777247,189.28488311767578,0.549577,0.5187737,0.51973104,0.99979675,0.99428654,0.997019
0.9796387,170.7812541290169,0.55301046,0.5280293,0.52903295,0.9988215,0.994313,0.99654526,0.9778153,188.1848701145338,0.5614922,0.5173035,0.5259216,0.99958843,0.9956558,0.9976058
0.9797362,167.48505182301955,0.55618024,0.530077,0.5312684,0.99899817,0.99523306,0.9970966,0.97745293,184.57414955470873,0.57142955,0.5570217,0.55211675,0.9998615,0.9957905,0.9978103
0.97990525,164.53546212585678,0.56260145,0.5307103,0.532715,0.9988577,0.99574745,0.99728316,0.9779421,183.66111264436142,0.5783855,0.5511194,0.55351806,0.9995177,0.99676615,0.9981304
0.98006666,161.44659608133722,0.5671823,0.53689826,0.53873706,0.9989455,0.9964901,0.99770355,0.97759783,182.45082662831183,0.572995,0.55177957,0.55112153,0.99958926,0.9971743,0.9983718
0.98019135,158.95540606037954,0.5721159,0.5360921,0.5404188,0.9990283,0.99674237,0.99787164,0.97776085,179.30953422214674,0.57738733,0.56628686,0.56157273,0.99958163,0.99765265,0.99860895
0.9799964,158.24299407273196,0.571686,0.53922904,0.54207814,0.998579,0.99691737,0.997733,0.9775254,178.43687472136125,0.58687586,0.5747286,0.5686574,0.9992452,0.99765354,0.99843997
0.98027855,156.27530524436008,0.5722024,0.5415601,0.54400223,0.9992621,0.99703395,0.9981326,0.97779715,176.4617850262186,0.581141,0.56072485,0.55854803,0.99944526,0.99807954,0.99875456
0.9800861,155.66635410437422,0.57006097,0.5390965,0.54214174,0.9990998,0.9970611,0.99806803,0.977779,176.94840399700664,0.5936434,0.57853407,0.5720941,0.99932027,0.9975873,0.998444
0.9802682,153.32227741198594,0.5769352,0.54256535,0.5459685,0.99918824,0.99705523,0.9981099,0.9771812,178.16924882971722,0.5945863,0.5861059,0.57605135,0.9995242,0.99788016,0.9986938
0.9805465,152.15407659409198,0.5833495,0.5472738,0.5512964,0.99936974,0.9971519,0.9982483,0.9779783,178.68084716796875,0.5916578,0.55618435,0.55701965,0.9995901,0.9979435,0.9987595
0.98039174,151.43305152007255,0.5813268,0.547089,0.5524438,0.99945706,0.99708265,0.99825835,0.97835875,181.1105873439623,0.60287344,0.56092775,0.5630969,0.99958766,0.99778754,0.99867904
0.98036426,150.02021382363995,0.5803681,0.5478384,0.55177855,0.9994722,0.9972691,0.99835914,0.9779058,175.03405542788298,0.5821629,0.57234424,0.566535,0.99952394,0.9977853,0.9986456
0.98056203,149.08541881546992,0.57708204,0.5450868,0.54891205,0.9993503,0.99718165,0.9982529,0.9777065,179.60445669422978,0.59335554,0.56897557,0.5647735,0.9997236,0.9980116,0.9988602
0.98050874,148.39912670292657,0.5797444,0.5522573,0.5536885,0.9994761,0.9972259,0.99833995,0.9777971,175.48524753736413,0.58998644,0.5616146,0.5615617,0.9995225,0.998422,0.99896574
0.9806283,148.4516856875759,0.5854902,0.55141044,0.55533195,0.99961674,0.9973755,0.99848485,0.9781957,174.81299027152684,0.5936146,0.5634092,0.56453985,0.9998026,0.9977881,0.9987867
