train_acc,train_loss,train_precision,train_recall,train_f1,train_precision_window,train_recall_window,train_f1_window,val_acc,val_loss,val_precision,val_recall,val_f1,val_precision_window,val_recall_window,val_f1_window
0.9184,173.3006,0.8167,0.3977,0.8128,0.9990,0.8414,0.9125,0.9174,173.7958,0.8150,0.3915,0.8100,1.,0.7916,0.8826
0.9187,173.0945,0.8176,0.4004,0.8135,1.,0.7932,0.8832,0.9174,174.1137,0.8150,0.3915,0.8100,1.,0.7053,0.8264
0.9187,173.1270,0.8176,0.4017,0.8136,1.,0.7559,0.8602,0.9174,173.8435,0.8150,0.3915,0.8100,1.,0.7136,0.8321
0.9186,173.1137,0.8174,0.3986,0.8134,0.9995,0.7449,0.8530,0.9174,173.7060,0.8150,0.3915,0.8100,1.,0.7120,0.8310
0.9187,173.1719,0.8177,0.4000,0.8135,1.,0.7581,0.8614,0.9174,173.6141,0.8150,0.3915,0.8100,1.,0.7156,0.8334
0.9186,173.0828,0.8178,0.3990,0.8134,1.,0.7415,0.8508,0.9174,174.2126,0.8150,0.3915,0.8100,1.,0.7257,0.8402
0.9188,173.0996,0.8181,0.3978,0.8137,1.,0.7447,0.8529,0.9174,174.0738,0.8150,0.3915,0.8100,1.,0.7191,0.8357
0.9188,173.0221,0.8182,0.3982,0.8137,1.,0.7344,0.8461,0.9174,174.0029,0.8150,0.3915,0.8100,1.,0.7046,0.8260
0.9186,173.0815,0.8177,0.3972,0.8135,1.,0.7446,0.8525,0.9174,173.8293,0.8150,0.3915,0.8100,1.,0.7115,0.8306
0.9186,173.0817,0.8177,0.3966,0.8133,1.,0.7327,0.8449,0.9174,173.9491,0.8150,0.3915,0.8100,1.,0.7193,0.8361
0.9186,173.1164,0.8179,0.3985,0.8134,1.,0.7384,0.8486,0.9174,173.7782,0.8150,0.3915,0.8100,1.,0.7174,0.8346
0.9187,173.1313,0.8180,0.3962,0.8136,1.,0.7350,0.8464,0.9174,174.4053,0.8150,0.3915,0.8100,1.,0.7100,0.8296
0.9187,173.1046,0.8181,0.3982,0.8137,1.,0.7411,0.8503,0.9174,173.9912,0.8150,0.3915,0.8100,1.,0.7127,0.8314
0.9186,173.0898,0.8174,0.3971,0.8132,1.,0.7386,0.8487,0.9174,173.8656,0.8150,0.3915,0.8100,1.,0.7300,0.8431
0.9187,173.0074,0.8180,0.3964,0.8135,0.9994,0.7334,0.8451,0.9174,173.5824,0.8150,0.3915,0.8100,1.,0.7109,0.8302
0.9188,173.0548,0.8182,0.4000,0.8138,1.,0.7294,0.8428,0.9174,174.0456,0.8150,0.3915,0.8100,1.,0.7066,0.8274
0.9187,173.0391,0.8180,0.4008,0.8136,1.,0.7315,0.8441,0.9174,173.7284,0.8150,0.3915,0.8100,1.,0.7091,0.8290
0.9187,173.0904,0.8176,0.3997,0.8136,1.,0.7379,0.8484,0.9174,173.8398,0.8150,0.3915,0.8100,1.,0.7121,0.8310
0.9187,173.0484,0.8181,0.3978,0.8137,1.,0.7319,0.8444,0.9174,174.0069,0.8150,0.3915,0.8100,1.,0.7094,0.8292
0.9188,173.0404,0.8182,0.3984,0.8138,1.,0.7316,0.8443,0.9174,173.8920,0.8150,0.3915,0.8100,1.,0.7207,0.8369
0.9186,173.0131,0.8180,0.3961,0.8135,1.,0.7303,0.8434,0.9174,173.9409,0.8150,0.3915,0.8100,1.,0.7112,0.8304
